Filename, class, comment
lsc0m412-kb26-20211208-0077-e91.fits.fz, 1, cometa-ovalada 49
tfn0m410-kb23-20190505-0064-e91.fits.fz, 0, circular 50
tfn0m410-kb23-20190505-0089-e91.fits.fz, 0, circular 38
tfn0m410-kb23-20190520-0091-e91.fits.fz, 0, circular-bad sight 25
tfn0m410-kb23-20190520-0106-e91.fits.fz, 0, circular 37
tfn0m410-kb23-20190521-0176-e91.fits.fz, 0, circular 24
tfn0m410-kb23-20190527-0441-e91.fits.fz, 2, donut (repetida validation)
tfn0m410-kb23-20190530-0243-e91.fits.fz, 0, circular 55
tfn0m414-kb81-20191006-0267-e91.fits.fz, 0, circular 40
tfn0m414-kb81-20191006-0277-e91.fits.fz, 1, circular1-cometa 47
tfn0m414-kb95-20211206-0167-e91.fits.fz, 0, circular 19
tfn0m410-kb23-20190530-0266-e91.fits.fz, 0, circular
lsc0m412-kb26-20211204-0077-e91.fits.fz, 0, circular
