Filename, class, comment
coj0m403-kb24-20211211-0102-e91.fits.fz, 1, cometa 72
lsc0m409-kb29-20211207-0076-e91.fits.fz, 1, cometa 42
lsc0m409-kb29-20211207-0077-e91.fits.fz, 1, cometa 57 
coj0m405-kb88-20211209-0097-e91.fits.fz, 0, circular 113
coj0m405-kb88-20211209-0098-e91.fits.fz, 0, circular-ovalada 107
tfn0m410-kb23-20190505-0085-e91.fits.fz, 0, circular 106
tfn0m410-kb23-20190505-0081-e91.fits.fz, 0, circular 
tfn0m410-kb23-20190505-0082-e91.fits.fz, 0, circular 
tfn0m410-kb23-20190505-0086-e91.fits.fz, 0, circular
tfn0m410-kb23-20190505-0087-e91.fits.fz, 0, circular
tfn0m410-kb23-20190505-0088-e91.fits.fz, 0, circular
tfn0m410-kb23-20190505-0090-e91.fits.fz, 0, circular
tfn0m410-kb23-20190512-0140-e91.fits.fz, 0, circular
tfn0m414-kb95-20211206-0168-e91.fits.fz, 0, circular
tfn0m410-kb23-20190527-0441-e91.fits.fz, 2, donut 8
tfn0m410-kb23-20190527-0443-e91.fits.fz, 2, donut 8
tfn0m410-kb23-20190521-0177-e91.fits.fz, 0, circular
tfn0m410-kb23-20190521-0178-e91.fits.fz, 0, circular 
tfn0m410-kb23-20190521-0179-e91.fits.fz, 0, circular 35
tfn0m410-kb23-20190521-0180-e91.fits.fz, 0, circular 
tfn0m414-kb81-20191006-0278-e91.fits.fz, 0, circular 45
tfn0m414-kb95-20211212-0133-e91.fits.fz, 0, circular
lsc0m409-kb29-20211205-0080-e91.fits.fz, 1, circular-ovalada 1 78 
lsc0m412-kb26-20211204-0076-e91.fits.fz, 1, cometa 54
